ma_hom,ten_hom,Ten_mkt,Ten_hom_the_hien,Ten_ky_thuat,Ten_chuan_hoa,Don_vi,Loai_go,Muc_dich,Goi_dich_vu,Mau_Sac,Nhom_Hang_Hoa,Loai_san_pham,Tôn giáo,Dac_diem,Nắp,Nguon_goc,Thanh,Liet,gia_von,Kich_thuoc,Be_mat
2AQ0001,Quan Tài Gỗ Căm Xe Nhập Khẩu,QUAN TÀI BÁCH TỊNH 1,Quan Tài  Gỗ Căm Xe  3cm,QUAN TÀI GỖ CĂM XE WPL-ĐÀI LOAN-3P,Quan tài Gỗ Căm Xe 3cm 220 x 80 x 115 (cm),Cái,Gỗ Căm Xe,An táng,Cao cấp,Đỏ,Tiêu hao,Chỉ bán,Đa giáo,,,Indonesia,3cm,0,,220 x 80 x 115 (cm),Phủ bóng
2AQ0002,Quan Tài Gỗ Sao Cát,QUAN TÀI AN LÂM,Quan Tài  Gỗ Sao Cát  3cm,QUAN TÀI GỖ SAO CÁT - ĐÀI LOAN -3P,Quan tài Gỗ Sao Cát 3cm 220 x 80 x 105 (cm),Cái,Gỗ Sao Cát,An táng,0,Vàng,Tiêu hao,Chỉ bán,Đa giáo,Trơn,,Việt Nam,3cm,0,,220 x 80 x 105 (cm),Phủ bóng
2AQ0003,Quan Tài Gỗ Xà Cừ,QUAN TÀI TÂM PHÚC,Quan Tài  Gỗ Xà Cừ  3cm,QUAN TÀI GỖ XÀ CỪ - ĐÀI LOAN - TRƠN - 3P,Quan tài Gỗ Xà Cừ 3cm 220 x 80 x 115 (cm),Cái,Gỗ Xà Cừ,An táng,0,Đỏ,Tiêu hao,Chỉ bán,Đa giáo,Trơn,,Việt Nam,3cm,0,,220 x 80 x 115 (cm),"Phủ bóng, vân gỗ tự nhiên"
2AQ0004,Quan Tài Gỗ Pơ Mu,#N/A,Quan Tài  Gỗ Pơ Mu  ,#N/A,Quan tài Gỗ Pơ Mu  ,Cái,Gỗ Pơ Mu,An táng,,Vàng,Tiêu hao,Chỉ bán,Đa giáo,,,Việt Nam,#N/A,#N/A,,#N/A,#N/A
2AQ0005,Quan Tài Gỗ Căm Xe - Cẩn,QUAN TÀI BÁCH TỊNH 2,Quan Tài  Gỗ Căm Xe  5cm,QUAN TÀI GỖ CĂM XE WPL-ĐÀI LOAN-CẨN-5P,Quan tài Gỗ Căm Xe 5cm 200 x 80 x 115 (cm),Cái,Gỗ Căm Xe,An táng,Cao cấp,Đỏ,Tiêu hao,Chỉ bán,Đa giáo,Cẩn,,Indonesia,5cm,0,,200 x 80 x 115 (cm),Phủ bóng
2AQ0006,Quan tài Gỗ Sao Cát - Cẩn,#N/A,Quan Tài  Gỗ Sao Cát  ,#N/A,Quan tài Gỗ Sao Cát  ,Cái,Gỗ Sao Cát,An táng,,Vàng,Tiêu hao,Chỉ bán,Đa giáo,Cẩn,,Việt Nam,#N/A,#N/A,,#N/A,#N/A
2AQ0007,Quan Gỗ Gỗ Trai VN,#N/A,Quan Tài  Gỗ Trai  ,#N/A,Quan tài Gỗ Trai  ,Cái,Gỗ Trai,An táng,,Vàng,Tiêu hao,Chỉ bán,Đa giáo,,,Việt Nam,#N/A,#N/A,,#N/A,#N/A
2AQ0008,Quan Tài Gỗ Hương Nhập Khẩu,QUAN TÀI HỒNG HƯƠNG,Quan Tài  Gỗ Giáng Hương  5cm,QUAN TÀI GỖ HƯƠNG NAM PHI- ĐÀI LOAN -TRƠN- 5P,Quan tài Gỗ Giáng Hương 5cm 200 x 80 x 120 (cm),Cái,Gỗ Giáng Hương,An táng,0,Đỏ,Tiêu hao,Chỉ bán,Đa giáo,Trơn,,Nam Phi,5cm,0,,200 x 80 x 120 (cm),"Phủ bóng, vân gỗ tự nhiên"
2AQ0009,Quan Tài Gỗ Hương Nhập khẩu Chạm,QUAN TÀI HỒNG KHẢI,Quan Tài  Gỗ Giáng Hương  4cm,QUAN TÀI GỖ HƯƠNG NAM PHI- ĐÀI LOAN -CHẠM - 4P,Quan tài Gỗ Giáng Hương 4cm 200 x 80 x 115 (cm),Cái,Gỗ Giáng Hương,An táng,Đặc biệt,Đỏ,Tiêu hao,Chỉ bán,Đa giáo,Chạm,,Nam Phi,4cm,0,,200 x 80 x 115 (cm),Phủ bóng
2AQ0010,Quan Tài Thiêu Nhí - Trắng,#N/A,Quan Tài  Gỗ Công Nghiệp  2cm,#N/A,Quan tài Gỗ Công Nghiệp 2cm 205 x 67 x 79 (cm),Cái,Gỗ Công Nghiệp,Hỏa táng,#N/A,Trắng,Tiêu hao,Chỉ bán,Đa giáo,,1 nắp,Việt Nam,2cm,#N/A,,205 x 67 x 79 (cm),#N/A
2AQ0011,Quan Tài Thiêu Nhí - Vàng,#N/A,Quan Tài  Gỗ Công Nghiệp  2cm,#N/A,Quan tài Gỗ Công Nghiệp 2cm 205 x 67 x 79 (cm),Cái,Gỗ Công Nghiệp,Hỏa táng,#N/A,Vàng,Tiêu hao,Chỉ bán,Đa giáo,,1 nắp,Việt Nam,2cm,#N/A,,205 x 67 x 79 (cm),#N/A
2AQ0012,Quan Tài Thiêu Nhí - Nâu,#N/A,Quan Tài  Gỗ Công Nghiệp  2cm,#N/A,Quan tài Gỗ Công Nghiệp 2cm 205 x 67 x 79 (cm),Cái,Gỗ Công Nghiệp,Hỏa táng,#N/A,Nâu,Tiêu hao,Chỉ bán,Đa giáo,,1 nắp,Việt Nam,2cm,#N/A,,205 x 67 x 79 (cm),#N/A
2AQ0013,Quan Tài Thiêu Trung - Trắng,#N/A,Quan Tài  Gỗ Công Nghiệp  2cm,#N/A,Quan tài Gỗ Công Nghiệp 2cm 205 x 68 x 90 (cm),Cái,Gỗ Công Nghiệp,Hỏa táng,#N/A,Trắng,Tiêu hao,Chỉ bán,Đa giáo,,1 nắp,Việt Nam,2cm,#N/A,,205 x 68 x 90 (cm),#N/A
2AQ0014,Quan Tài Thiêu Trung - Nâu Cẩn,#N/A,Quan Tài  Gỗ Công Nghiệp  2cm,#N/A,Quan tài Gỗ Công Nghiệp 2cm 205 x 68 x 90 (cm),Cái,Gỗ Công Nghiệp,Hỏa táng,#N/A,Nâu Cẩn,Tiêu hao,Chỉ bán,Đa giáo,,1 nắp,Việt Nam,2cm,#N/A,,205 x 68 x 90 (cm),#N/A
2AQ0015,Quan Tài Thiêu Trung - Vàng,#N/A,Quan Tài  Gỗ Công Nghiệp  2cm,#N/A,Quan tài Gỗ Công Nghiệp 2cm 205 x 80 x 95 (cm),Cái,Gỗ Công Nghiệp,Hỏa táng,#N/A,Vàng,Tiêu hao,Chỉ bán,Đa giáo,,1 nắp,Việt Nam,2cm,#N/A,,205 x 80 x 95 (cm),#N/A
2AQ0016,Quan Tài Thiêu Nắp Tròn - Vàng Trơn,#N/A,Quan Tài  Gỗ Công Nghiệp  ,#N/A,Quan tài Gỗ Công Nghiệp  ,Cái,Gỗ Công Nghiệp,Hỏa táng,,Vàng,Tiêu hao,Chỉ bán,Đa giáo,Trơn,,Đài Loan,#N/A,#N/A,,#N/A,#N/A
2AQ0017,Quan Tài Thiêu Nắp Tròn - Nâu Trơn,#N/A,Quan Tài  Gỗ Công Nghiệp  ,#N/A,Quan tài Gỗ Công Nghiệp  ,Cái,Gỗ Công Nghiệp,Hỏa táng,,Nâu,Tiêu hao,Chỉ bán,Đa giáo,Trơn,,Đài Loan,#N/A,#N/A,,#N/A,#N/A
2AQ0018,Quan Tài Thiêu Nắp Tròn - Vàng Cẩn,#N/A,Quan Tài  Gỗ Công Nghiệp  ,#N/A,Quan tài Gỗ Công Nghiệp  ,Cái,Gỗ Công Nghiệp,Hỏa táng,,Vàng,Tiêu hao,Chỉ bán,Đa giáo,Cẩn,,Đài Loan,#N/A,#N/A,,#N/A,#N/A
2AQ0019,Quan Tài Thiêu Nắp Tròn - Nâu Cẩn,#N/A,Quan Tài  Gỗ Công Nghiệp  3cm,#N/A,Quan tài Gỗ Công Nghiệp 3cm 205 x 79 x 110 (cm),Cái,Gỗ Công Nghiệp,Hỏa táng,#N/A,Nâu,Tiêu hao,Chỉ bán,Phật giáo,,1 nắp,Việt Nam,3cm,#N/A,,205 x 79 x 110 (cm),#N/A
2AQ0020,Quan tài Gỗ Vàng Tâm - Nâu,#N/A,Quan Tài  Gỗ Vàng Tâm  ,#N/A,Quan tài Gỗ Vàng Tâm  ,Cái,Gỗ Vàng Tâm,An táng,,Vàng,Tiêu hao,Chỉ bán,Đa giáo,,,Việt Nam,#N/A,#N/A,,#N/A,#N/A
2AQ0021,Quan Tài Covid,#N/A,Quan Tài  Gỗ Công Nghiệp  ,#N/A,Quan tài Gỗ Công Nghiệp  ,Cái,Gỗ Công Nghiệp,Hỏa táng,,Trắng,Tiêu hao,Chỉ bán,Đa giáo,,,Đài Loan,#N/A,#N/A,,#N/A,#N/A
