id,ma_hom,ten_hom,gia_ban,gia_von,hinh_anh,NCC,loai_hom,mo_ta,is_active,created_at,updated_at,kich_thuoc,thong_so_khac,do_day_thanh,don_vi_tinh,tinh_chat,muc_dich_su_dung,so_luong
020d1f29-ee92-4204-8131-ce34247dd645,2AQ0172,Quan Tài Gỗ Đinh Hương (Hương Công Gô) - Trơn,0.00,0.00,,,Đinh Hương (Hương Công Gô),,true,2026-04-03 07:34:08.218719+00,2026-04-13 04:14:04.413884+00,"2,1 x 0,8 x 0,95",,4 cm,Cái,trơn,chôn,2
03e89dd6-697c-4f0b-bf92-381920095786,2AQ0117,Quan tài Malaysia họa tiết hoa sen - 2 nắp,0.00,0.00,,,Nhập Malaysia,,true,2026-04-03 07:33:51.031138+00,2026-04-03 07:33:51.031138+00,"2,13 x 0,72 x 0,75",,,Cái,,chôn,0
06709384-6025-4915-b914-2fbe563cd871,2AQ0147,Quan Tài Gỗ Công Nghiệp - Nâu,0.00,0.00,,,Công Nghiệp,,true,2026-04-03 07:34:00.3019+00,2026-04-03 07:34:00.3019+00,"2,08 x 0,45 x 0,6",,,Cái,,chôn,0
084965c7-553e-485c-b3b8-85c45aa4fd18,2AQ0040,Quan Tài Whitsunday,0.00,0.00,https://woqtdgzldkxmcgjshthx.supabase.co/storage/v1/object/public/product-images/products/2AQ0040_1775553194375.jpg,,Thông,,true,2026-04-03 07:33:24.416751+00,2026-04-13 04:14:05.237062+00,"2,16 x 0,81 x 0,61",,,Cái,,chôn,1
09ab8481-7602-4f1c-9c08-af5b63b29837,2AQ0018,Quan Tài Thiêu Nắp Tròn - Vàng Cẩn,0.00,0.00,https://woqtdgzldkxmcgjshthx.supabase.co/storage/v1/object/public/product-images/products/2AQ0018_1775551742459.jpg,,Công Nghiệp,,true,2026-04-03 07:33:17.820322+00,2026-04-07 08:49:05.092311+00,"2,05 x 0,79 x 1,1",đế 5cm,,Cái,cẩn,thiêu,0
09c290bc-8dfe-4408-adfc-f9503d90d65a,2AQ0070,Quan tài Gỗ Sao Chạm Rồng,0.00,0.00,,,Sao,,true,2026-04-03 07:33:36.081971+00,2026-04-03 07:33:36.081971+00,"2,2 x 0,8 x 1,15",,4 cm,Cái,chạm,chôn,0
09cca24c-6c00-45c8-bf35-7a56c1e7146a,2AQ0064,Quan tài Gỗ Trai Chạm (Phật giáo),0.00,0.00,,,Trai,,true,2026-04-03 07:33:34.136729+00,2026-04-13 04:14:00.270555+00,"2,2 x 0,8 x 1,15",,5 cm,Cái,chạm,chôn,4
0a7b9f14-aba7-4507-94c1-531bba067322,2AQ0126,Quan Tài Gỗ Xà Cừ - Chạm Phật Giáo,0.00,0.00,,,Xà Cừ,,true,2026-04-03 07:33:54.18843+00,2026-04-03 07:33:54.18843+00,"2,1 x 0,8 x 1,2",,3-4 cm,Cái,chạm,chôn,0
0b8df03a-ee03-45b8-a7fd-361a68e27ee0,2AQ0001,Quan Tài Gỗ Căm Xe Nhập Khẩu,0.00,0.00,https://woqtdgzldkxmcgjshthx.supabase.co/storage/v1/object/public/product-images/products/2AQ0001_1775202161912.jpg,,Căm Xe Nhập Khẩu,,true,2026-04-03 07:33:11.812375+00,2026-04-13 04:14:05.703235+00,"2,2 x 0,8 x 1,15",,3 cm,Cái,,chôn,0
0c12d32b-7be4-4826-a048-06c3264e49c5,2AQ0069,Quan tài Gỗ Sao Cát Nắp Tròn,0.00,0.00,,,Sao Cát,,true,2026-04-03 07:33:35.663248+00,2026-04-03 07:33:35.663248+00,"2,2 x 0,8 x 1,4",,6 cm,Cái,,chôn,0
0e0757cc-e3d5-48c2-bceb-170bf9c4fde4,2AQ0095,Quan tài Thiêu Nắp Tròn - Vàng/ Nâu Cẩn,0.00,0.00,,,Công Nghiệp,,true,2026-04-03 07:33:44.041942+00,2026-04-03 07:33:44.041942+00,"2,05 x 0,79 x 1,1",,,Cái,cẩn,thiêu,0
108caa5c-a8c7-4d79-9004-dfc2b125ea64,2AQ0027,Quan tài Gỗ Ngọc Am,0.00,0.00,https://woqtdgzldkxmcgjshthx.supabase.co/storage/v1/object/public/product-images/products/2AQ0027_1775552115567.jpg,,Ngọc Am,,true,2026-04-03 07:33:20.487697+00,2026-04-07 08:55:18.611682+00,"2 x 0,55 x 0,5",địa 12cm; thiên 10cm,8 cm,Cái,,chôn,0
10eb89b0-a0ba-4b92-bb7b-c0890df187b3,2AQ0140,Quan tài Gỗ Vàng Tâm,0.00,0.00,,,Vàng Tâm,,true,2026-04-03 07:33:58.52295+00,2026-04-03 07:33:58.52295+00,"2,09 x 0,62 x 0,62",địa 10cm; thiên 10cm,7 cm,Cái,,chôn,0
12d4eecd-142f-4678-8b81-e83950bdd874,2AQ0084,Quan tài Gỗ Sao Lục Giác,0.00,0.00,,,Sao,,true,2026-04-03 07:33:40.795435+00,2026-04-03 07:33:40.795435+00,"2,15 x 0,8 x 0,95",,3 cm,Cái,,chôn,0
130f0264-1966-4439-bf59-3ccb72dd1cc9,2AQ0079,Quan tài Malaysia họa tiết hoa sen - 3 nắp,0.00,0.00,,,Nhập Malaysia,,true,2026-04-03 07:33:39.046644+00,2026-04-03 07:33:39.046644+00,"2,13 x 0,72 x 0,75",,,Cái,,chôn,0
