ID,code,user_id,user_code,department_id,department_ids,department_parent_id,department_parent_code,title,date_suggest,desc,is_detail,type,app_approval_status,app_approval_status_step,app_approval_current_node_deadline,app_approval_ids,app_approval_id_codes,app_approval_current_id,app_approval_current_code,project_id,plan_id,created_by_id,created_by_code,date_created,total_price,product_type_ids,service_type_ids,app_approval_version_id,details,product_category,last_comments,num_file
9,DX00007,9,,5,5,,,Mua đồ khấu hao dự trù đám thiết kế 240114,2024-07-03 00:00:00,,0,ARISE,APPROVED,,,2,,2,,,,9,,2024-07-03 15:38:30,0.00000,"5,5,5",,14,,0,,0
10,DX00008,24,,12,12,,,Trang bị lắp đặt máy lạnh Sharp 2HP cho phòng Marketing,2024-07-12 00:00:00,,0,ARISE,APPROVED,,,24,,1,,,,24,,2024-07-12 08:47:38,0.00000,18,,14,,0,,0
11,DX00009,9,,5,5,,,Vật tư bổ sung tháng 7,2024-07-15 00:00:00,,0,ARISE,APPROVED,,,2,,2,,,,9,,2024-07-15 11:41:08,0.00000,"5,5,5,4",,14,,0,,0
12,DX00010,9,,5,5,,,mua cồn rửa tay cho vận hành vệ sinh,2024-07-23 00:00:00,,0,ARISE,APPROVED,,,2,,2,,,,9,,2024-07-23 12:02:05,0.00000,4,,14,,0,,0
13,DX00011,25,,6,6,,,Điện thoại Hotline,2024-07-23 00:00:00,,0,ARISE,APPROVED,,,,,5,,,,25,,2024-07-23 14:19:59,0.00000,18,,14,,0,,0
14,DX00012,21,,10,10,,,Dụng cụ hỗ trợ quay Video Marketing,2024-07-25 00:00:00,,0,ARISE,APPROVED,,,,,5,,,,21,,2024-07-25 13:54:18,0.00000,"18,18,18,18",,14,,0,,1
15,DX00013,25,,6,6,,,Bàn làm việc đặt ở PV MĐQ,2024-07-30 00:00:00,,0,ARISE,APPROVED,,,12,,12,,,,25,,2024-07-30 09:57:52,0.00000,,,14,,0,,0
16,DX00014,25,,6,6,,,Bàn làm việc đặt ở PV MĐQ,2024-07-31 00:00:00,,0,ARISE,APPROVED,,,12,,12,,,,25,,2024-07-31 16:35:52,0.00000,,,14,,0,,0
17,DX00015,2,,4,4,,,Đồng phục vest đạo tỳ,2024-08-01 00:00:00,,1,ARISE,APPROVED,,,,,6,,,,2,,2024-08-01 10:28:22,31800000.00000,18,,14,,0,,0
18,DX00016,21,,10,10,,,In Ấn Tờ Rơi Hộc Lưu Tro Cốt và Bìa Hồ Sơ Blackstones,2024-08-05 00:00:00,,0,ARISE,APPROVED,,,,,5,,,,21,,2024-08-05 14:54:30,0.00000,"19,19",,14,,0,,2
19,DX00017,9,,5,5,,,Mua thêm bàn phật thay thế,2024-08-05 00:00:00,,0,ARISE,APPROVED,,,2,,2,,,,9,,2024-08-05 17:37:09,0.00000,5,,15,,0,,0
20,DX00018,25,,6,6,,,ĐỒNG PHỤC THÁP CỐT,2024-08-07 00:00:00,,0,ARISE,APPROVED,,,12,,12,,,,25,,2024-08-07 10:17:24,0.00000,19,,14,,0,,0
21,DX00019,21,,10,10,,,In namecard cho Sales Tháp Tứ Ân - Minh Đăng Quang,2024-08-07 00:00:00,Nhân sự: Hưng (PTTT)  và Thắng (PTTT): Mỗi người 2 Hộp<div>Nhân sự: Sales còn lại mỗi người : 5 hộp</div>,0,ARISE,APPROVED,,,,,5,,,,21,,2024-08-07 15:36:02,0.00000,19,,14,,0,,1
22,DX00020,9,,5,5,,,mua rèm trắng cho đám đặc biệt 240804,2024-08-12 00:00:00,,0,ARISE,APPROVED,,,2,,2,,,,9,,2024-08-12 10:00:08,0.00000,5,,14,,0,,0
23,DX00021,9,,5,5,,,Vật tư khấu hao tháng 8,2024-08-13 00:00:00,,0,ARISE,APPROVED,,,2,,2,,,,9,,2024-08-13 10:03:29,0.00000,5,,14,,0,,0
24,DX00022,25,,6,6,,,ĐỒNG PHỤC THÁP CỐT MÀU ĐEN,2024-08-13 00:00:00,"<span style=""color:rgb(8,28,54);font-family:SegoeuiPc, 'Segoe UI', 'San Francisco', 'Helvetica Neue', Helvetica, 'Lucida Grande', Roboto, Ubuntu, Tahoma, 'Microsoft Sans Serif', Arial, sans-serif;font-size:15px;font-style:normal;font-weight:400;letter-spacing:0.2px;text-indent:0px;text-transform:none;background-color:rgb(255,255,255);float:none;"">Áo đen (đồng phục Sales - Trực dự án, trực đám,..)</span><div><span style=""color:rgb(8,28,54);font-family:SegoeuiPc, 'Segoe UI', 'San Francisco', 'Helvetica Neue', Helvetica, 'Lucida Grande', Roboto, Ubuntu, Tahoma, 'Microsoft Sans Serif', Arial, sans-serif;font-size:15px;font-style:normal;font-weight:400;letter-spacing:0.2px;text-indent:0px;text-transform:none;background-color:rgb(255,255,255);float:none;""><span style=""color:rgb(8,28,54);font-family:SegoeuiPc, 'Segoe UI', 'San Francisco', 'Helvetica Neue', Helvetica, 'Lucida Grande', Roboto, Ubuntu, Tahoma, 'Microsoft Sans Serif', Arial, sans-serif;font-size:15px;font-style:normal;font-weight:400;letter-spacing:0.2px;text-indent:0px;text-transform:none;background-color:rgb(255,255,255);float:none;"">Note: đồng phục cấp 1 lần, nhân viên tự đặt mua thêm khi có nhu cầu</span><br /><br /></span></div>",0,ARISE,APPROVED,,,12,,12,,,,25,,2024-08-13 10:24:03,0.00000,19,,14,,0,,0
25,DX00023,25,,6,6,,,ĐỒNG PHỤC THÁP CỐT MÀU TRẮNG,2024-08-13 00:00:00,"<span style=""color:rgb(8,28,54);font-family:SegoeuiPc, 'Segoe UI', 'San Francisco', 'Helvetica Neue', Helvetica, 'Lucida Grande', Roboto, Ubuntu, Tahoma, 'Microsoft Sans Serif', Arial, sans-serif;font-size:15px;font-style:normal;font-weight:400;letter-spacing:0.2px;text-indent:0px;text-transform:none;background-color:rgb(255,255,255);float:none;"">Áo trắng (Office - Hưng, Thắng, Bảo, bổ sung cho PTTT và MKT khi thực hiện event). </span><div><span style=""color:rgb(8,28,54);font-family:SegoeuiPc, 'Segoe UI', 'San Francisco', 'Helvetica Neue', Helvetica, 'Lucida Grande', Roboto, Ubuntu, Tahoma, 'Microsoft Sans Serif', Arial, sans-serif;font-size:15px;font-style:normal;font-weight:400;letter-spacing:0.2px;text-indent:0px;text-transform:none;background-color:rgb(255,255,255);float:none;""><span style=""color:rgb(8,28,54);font-family:SegoeuiPc, 'Segoe UI', 'San Francisco', 'Helvetica Neue', Helvetica, 'Lucida Grande', Roboto, Ubuntu, Tahoma, 'Microsoft Sans Serif', Arial, sans-serif;font-size:15px;font-style:normal;font-weight:400;letter-spacing:0.2px;text-indent:0px;text-transform:none;background-color:rgb(255,255,255);float:none;"">Note: đồng phục cấp 1 lần, nhân viên tự đặt mua thêm khi có nhu cầu</span><br /></span></div>",0,ARISE,APPROVED,,,12,,12,,,,25,,2024-08-13 10:27:21,0.00000,19,,14,,0,,0
26,DX00024,2,,4,4,,,Mua máy giặt thay thế cái bị hư,2024-08-14 00:00:00,,1,ARISE,APPROVED,,,,,4,,,,2,,2024-08-14 11:09:31,6790000.00000,18,,14,,0,,1
27,DX00025,24,,12,12,,,Trang bị lắp đặt máy lạnh Sharp 2HP cho phòng trực Vận hành,2024-08-14 00:00:00,,0,ARISE,APPROVED,,,24,,5,,,,24,,2024-08-14 15:30:26,0.00000,18,,14,,0,,0
28,DX00026,2,,4,4,,,Mua mẫu nên điện tử,2024-08-14 00:00:00,,1,ARISE,APPROVED,,,,,5,,,,2,,2024-08-14 16:06:04,510000.00000,5,,14,,0,,0
29,DX00027,2,,4,4,,,Mua máy cắt,2024-08-14 00:00:00,,1,ARISE,APPROVED,,,,,4,,,,2,,2024-08-14 16:15:27,2268000.00000,18,,14,,0,,0
30,DX00028,9,,5,5,,,Đồ tiêu hao tháng 8,2024-08-21 00:00:00,,0,ARISE,APPROVED,,,2,,2,,,,9,,2024-08-21 14:50:43,0.00000,"4,4",,14,,0,,0
31,DX00029,2,,4,4,,,Mua sắt làm kệ nhà có tang và khung rạp,2024-08-22 00:00:00,,1,ARISE,APPROVED,,,,,5,,,,2,,2024-08-22 10:27:57,12800000.00000,"19,19,19,19,19",,15,,0,,0
32,DX00030,21,,10,10,,,Brochure Hộc Lưu Tro Cốt (catalogue),2024-08-23 00:00:00,,0,ARISE,APPROVED,,,,,5,,,,21,,2024-08-23 17:59:20,0.00000,19,,14,,0,,1
33,DX00031,20,,9,9,,,ĐỒNG PHỤC NHÂN VIÊN VẬN HÀNH MỚI,2024-08-26 00:00:00,Đồng phục nhân viên vận hành Trần Thị Yến Nhi,0,ARISE,APPROVED,,,18,,18,,,,20,,2024-08-26 11:46:32,0.00000,"19,19,19,19",,15,,0,,0
34,DX00032,20,,9,9,,,"MUA SẮT LÀM KHUNG RẠP, KHUNG CỔNG HOA, KỆ NHÀ CÓ TANG",2024-08-26 00:00:00,"MUA SẮT LÀM KHUNG RẠP, KHUNG CỔNG HOA, KỆ NHÀ CÓ TANG",0,ARISE,APPROVED,,,18,,18,,,,20,,2024-08-26 12:15:10,0.00000,"19,19,19,19,19",,15,,0,,0
35,DX00033,21,,10,10,,,Tờ rơi Kế hoạch trăm tuổi - Leaveleft,2024-08-28 00:00:00,Tờ rơi Kế hoạch trăm tuổi:<div>Kích thước: A5</div><div>In 2 mặt 4 màu</div><div>Chất liệu: C200</div>,0,ARISE,APPROVED,,,,,5,,,,21,,2024-08-28 15:26:34,0.00000,19,,15,,0,,1
36,DX00034,9,,5,5,,,Mua đồ bổ sung tháng 9,2024-09-04 00:00:00,,0,ARISE,APPROVED,,,2,,2,,,,9,,2024-09-04 17:32:52,0.00000,"5,5,5",,15,,0,,0
37,DX00035,20,,9,9,,,MUA VÁN MDF LÀM MẶT BÀN,2024-09-13 00:00:00,,0,ARISE,APPROVED,,,18,,18,,,,20,,2024-09-13 10:35:07,0.00000,"19,19",,15,,0,,0
38,DX00036,9,,5,5,,,mua đồ bổ sung tháng 9/2024 lần 2,2024-09-23 00:00:00,,0,ARISE,APPROVED,,,2,,2,,,,9,,2024-09-23 10:56:46,0.00000,"5,5,5,5",,15,,0,,0
39,DX00037,20,,9,9,,,MAY RÈM LINH ĐƯỜNG KEM VÀ TRẮNG,2024-09-23 00:00:00,,0,ARISE,APPROVED,,,18,,18,,,,20,,2024-09-23 17:36:16,0.00000,"5,5",,15,,0,,0
40,DX00038,20,,9,9,,,MUA BẠT XÁM+ BẠT TRONG,2024-09-24 00:00:00,,0,ARISE,APPROVED,,,18,,18,,,,20,,2024-09-24 15:22:07,0.00000,"5,5",,15,,0,,0
41,DX00039,21,,10,10,,,Brochure Kế hoạch trăm tuổi,2024-09-24 00:00:00,Chất liệu in giống như cuốn brochure hộc lưu tro cốt,0,ARISE,APPROVED,,,,,5,,,,21,,2024-09-24 17:33:14,0.00000,19,,15,,0,,1
42,DX00040,21,,10,10,,,Namecard Tháp Tứ Ân - Nhân sự mới,2024-09-25 00:00:00,MKT hỗ trợ đăng ký cho Tháp Tứ Ân gửi đề xuất làm thêm Namecard cho các bạn nhân viên mới.<div><div>Số lượng tổng: 20 hộp</div><div>Nhân viên mới: 4 người</div><div>Mỗi nhân viên: 5 hộp</div></div>,0,ARISE,APPROVED,,,,,5,,,,21,,2024-09-25 12:04:38,0.00000,19,,15,,0,,1
43,DX00041,21,,10,10,,,Tìm nhà cung cấp và thi công Dán decal xe Tải va xe Vans,2024-09-30 00:00:00,Nhờ anh Cường tìm nhà cung cấp và thi công dán Decal xe Tải và xe vans cho Blackstones ,0,ARISE,APPROVED,,,,,5,,,,21,,2024-09-30 11:31:41,0.00000,19,,15,,0,,2
44,DX00042,21,,10,10,,,In Giấy Chứng Nhận Sở Hữu Cổ Phần (Cổ Đông),2024-10-07 00:00:00,"<div><b>Mỗi file in 3 bộ</b></div>- In màu 2 mặt<div>- IN chỉ có 2 màu trắng đen
<br />- Ép nhũ vàng chữ GIẤY CHỨNG NHẬN SỞ HỮU CỔ PHẦN (File anh Vũ anh Khôi only)
<br />- Chất liệu giấy: Lanvi Curious Metallic Ice Gold 250 
<br />- In mỗi bộ 3 bản</div>",0,ARISE,APPROVED,,,,,5,,,,21,,2024-10-07 12:03:36,0.00000,19,,15,,0,,1
