ID,code,type,formal_name,name,gender,birthday,birthday_now,product_ids,customer_id,private_code,private_date,private_place,phones,emails,address,search_contact_info,address_show,trade_id,job_tax,job_date,desc,user_id,date_created,created_by_id,represent_name,represent_position,business,bank_detail,debt,last_comments,num_file
2,NCC0002,1,,CÔNG TY TNHH VẬN TẢI KUMHO SAMCO BUSLINES,,,,,,,,,,,,,,,,,Cung cấp xe 29 chỗ và 45 chỗ,,2024-04-26 16:05:08,1,,,,,1648204985.7000003,,0
3,NCC0003,1,,Xe cấp cứu 115 SG,,,,,,,,,,,,,,,,,Cung cấp xe cấp cứu,,2024-04-26 16:05:09,1,,,,,1200000,,0
4,NCC0004,1,,CÔNG TY TNHH MAI TÁNG DV THIÊN HOA,,,,,,,,,,,,,,,,,"Cung cấp quan tài thiêu/ chôn các loại, quách và hủ đựng tro cốt, vật tư khấu+ tiêu hao",,2024-04-26 16:05:09,1,,,,,289799800,,0
5,NCC0005,1,,CÔNG TY TNHH MTV DV - SX MINH ANH BD,,,,,,,,,,,,,,,,,Cung cấp quan tài thiêu/ chôn các loại,,2024-04-26 16:05:10,1,,,,,2475792000,,0
6,NCC0006,1,,Phúc Tinh,,,,,,,,,,,,,,,,,Cung cấp quách và hủ tro cốt,,2024-04-26 16:05:11,1,,,,,127222000,,0
7,NCC0012,1,,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VẠN PHÁT GIA,,,,,,,,,,,,,,,,,"Gia công may rèm linh đường, bàn phật, bàn linh",,2024-04-26 16:05:11,1,,,,,793689840,,0
8,NCC0013,1,,Công ty Sen Việt Water,,,,,,,,,,,,,,,,,Cung cấp nước suối trong đám,,2024-04-26 16:05:11,1,,,,,,,0
9,NCC0014,1,,CÔNG TY TNHH SẢN XUẤT STC VIỆT NAM,,,,,,,,,,,,,,,,,Cung cấp khăn giấy ướt,,2024-04-26 16:05:12,1,,,,,160245000,,0
10,NCC0019,1,,CÔNG TY TNHH CHẾ NHÂM,,,,,,,,,,,,,,,,,Cung cấp bao thư,,2024-04-26 16:05:13,1,,,,,380925000,,0
11,NCC0020,1,,CÔNG TY TNHH SKY SÀI GÒN,,,,,,,,,,,,,,,,,Cung cấp thảm sàn xám,,2024-04-26 16:05:13,1,,,,,373734000,,0
12,NCC0021,1,,CÔNG TY TNHH SX TM DỆT THÊU MAY MỸ DUNG,,,,,,,,,,,,,,,,,Cung cấp vải voan,,2024-04-26 16:05:14,1,,,,,355309030.99,,0
13,NCC0022,1,,Công ty An Mac,,,,,,,,,,,,,,,,,Đồng phục/ Áo vest nhân viên,,2024-04-26 16:05:14,1,,,,,,,0
14,NCC0023,1,,CÔNG TY TNHH THIẾT KẾ BẢO HỘ HƯNG THỊNH,,,,,,,,,,,,,,,,,Đồng phục áo thun/ áo BHLD,,2024-04-26 16:05:15,1,,,,,,,0
15,NCC0025,1,,CÔNG TY TNHH THIÊN AN NAM PHƯƠNG,,,,,,,,,,,,,,,,,Cung cấp Nước đóng chai Analife 250ml,,2024-04-26 16:05:16,1,,,,,,,0
16,NCC0026,1,,CÔNG TY TRÁCH NHIỆM HỮU HẠN PHÂN PHỐI TRẦN NGUYỄN,,,,,,,,,,,,,,,,,Cung cấp Nước đóng chai Danasi,,2024-04-26 16:05:17,1,,,,,,,0
17,NCC0027,1,,CHI NHÁNH TẠI TP HỒ CHÍ MINH - CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ DỊCH VỤ NGỌC HÀ (TP. HÀ NỘI),,,,,,,,,,,,,,,,,Cung cấp văn phòng phẩm,,2024-04-26 16:05:18,1,,,,,,,0
18,NCC0035,1,,Nước lavie Q2,,,,,,,,,,,,,,,,,Cung cấp nước đóng chai,,2024-04-26 16:05:18,1,,,,,,,0
19,NCC0036,1,,CÔNG TY TNHH QUẢN LÝ HOA VIÊN NGHĨA TRANG SALA,,,,,,,,,,,,,,,,,"Dịch vụ hạ huyệt , mâm cúng",,2024-04-26 16:05:19,1,,,,,162529998.22,,0
20,NCC0044,1,,CÔNG TY CỔ PHẦN DV ĐỒ CÚNG TÂM LINH,,,,,,,,,,,,,,,,,Cung cấp mâm cúng,,2024-04-26 16:05:19,1,,,,,859401790,,0
21,NCC0045,1,,HỘ KINH DOANH ẨM THỰC CHAY HƯƠNG SEN,,,,,,,,,,,,,,,,,Cung cấp mâm cúng,,2024-04-26 16:05:19,1,,,,,,,0
22,NCC0046,1,,CÔNG TY TNHH ĐIỂM SEN,,,,,,,,,,,,,,,,,Cung cấp hủ tro cốt,,2024-04-26 16:05:20,1,,,,,246623800.01,,0
23,NCC0048,1,,SMLife,,,,,,,,,,,,,,,,,Cung cấp khay gỗ,,2024-04-26 16:05:20,1,,,,,,,0
24,NCC0052,1,,Công yty TNHH SX TM XNK Đại Liên Hiệp,,,,,,,,,,,,,,,,,Cung cấp đèn cầy,,2024-04-26 16:05:22,1,,,,,193834689.66000003,,0
25,NCC0088,1,,Lò thiêu Bình Hưng Hòa,,,,,,,,,,,,,,,,,"Nhà hỏa táng,",,2024-04-26 16:05:24,1,,,,,539397960,,0
26,NCC0089,1,,Lò thiêu Phúc An Viên,,,,,,,,,,,,,,,,,"Nhà hỏa táng, an táng",,2024-04-26 16:05:25,1,,,,,,,0
27,NCC0090,1,,Lò thiêu Đa Phước,,,,,,,,,,,,,,,,,Nhà hỏa táng,,2024-04-26 16:05:25,1,,,,,123936399.5,,0
28,NCC0091,1,,Lò Thiêu Tháp Long Thọ,,,,,,,,,,,,,,,,,Nhà hỏa táng,,2024-04-26 16:05:25,1,,,,,53850000,,0
29,NCC0092,1,,Lò thiêu Phước Lạc Viên,,,,,,,,,,,,,,,,,Nhà hỏa táng,,2024-04-26 16:05:25,1,,,,,92160000,,0
30,NCC0093,1,,Nghĩa Trang Bình Dương,,,,,,,,,,,,,,,,,"Nhà hỏa táng, an táng",,2024-04-26 16:05:26,1,,,,,,,0
31,NCC0094,1,,CÔNG TY TNHH HÒA LẠC VIÊN,,,,,,,,,,,,,,,,,Nhà hỏa táng,,2024-04-26 16:05:28,1,,,,,1151000000,,0
32,NCC0095,1,,CÔNG TY CP KHÔNG GIAN GỐM BÁT TRÀNG,,,,,,,,,,,,,,,,,Đồ thờ cúng,,2024-04-26 16:05:28,1,,,,,242360100,,0
33,NCC0096,1,,CÔNG TY TNHH MTV HIẾU NGỌC,,,,,,,,,,,,,,,,,Thuê xe 45 chỗ,,2024-04-26 16:05:29,1,,,,,,,0
34,NCC0097,1,,CÔNG TY TNHH TM DV LÊ TUẤN ANH,,,,,,,,,,,,,,,,,Thi công ghế đá,,2024-04-26 16:05:30,1,,,,,85363200,,0
35,NCC0001,1,,Công Tuấn Thọ,,,,,,,,,,,,,,,,,"Cung cấp xe phật, xe rồng, xe tang, đạo tỳ",,2024-04-26 16:20:18,1,,,,,,,0
36,NCC0007,1,,Đức Thành,,,,,,,,,,,,,,,,,Cung cấp quách và hủ tro cốt,,2024-04-26 16:20:22,1,,,,,,,0
37,NCC0008,1,,Hoa Khánh Quang,,,,,,,,,,,,,,,,,Cung cấp dịch vụ cấm hoa các gói,,2024-04-26 16:20:23,1,,,,,,,0
38,NCC0009,1,,Hoa Hải Đường,,,,,,,,,,,,,,,,,Cung cấp dịch vụ cấm hoa các gói,,2024-04-26 16:20:23,1,,,,,,,0
